id,text,created_at
1.65712E+18,"Anyone looking for X3 Euro Village tickets for tomorrow. I can sell separately. Message me for more information 
#eurovillage #eurovision                    #eurovillagetickets #ticketfairy",2023-05-12 20:07:56+00:00
1.65712E+18,At Eurovision village and the vibes are immaculate !!!! #EUROVISION #Eurovision2023,2023-05-12 20:07:56+00:00
1.65712E+18,"🇦🇱 10. Albania. I LOVE the harmonies in this so much. Albina leads the song with so much emotion and she sounds like she’s putting no effort into a tough vocal. It’s a really gorgeous sound.

#Eurovision #ESC2023 #Eurovision2023",2023-05-12 20:07:38+00:00
1.65712E+18,"🇦🇱 I adore the family and how well they translate the message of connection and roots through the golden Jamala tree LEDs, combined with their vocal power. I hope the jury gives them some love #Eurovision",2023-05-12 20:07:11+00:00
1.65712E+18,@juliasuzanne76 🎶Love Shine a Light🎶 1997! #NeverForget #BestYearEver #Eurovision😁 it can be again…..,2023-05-12 20:07:10+00:00
1.65712E+18,Albania: As impassioned as always! #eurovision,2023-05-12 20:06:58+00:00
1.65712E+18,Love #HoldMeNow #EUROVISION,2023-05-12 20:06:50+00:00
1.65712E+18,"I've been a bit of a fan of #eurovision for well over 40 years, but lets be brutally honnest... the overall 'quality' of (all) the acts over the last 5-10 years or so is pretty 'dire', and seems to be far more focussed on 'conceptual art' rather than any actual 'singing' ability!",2023-05-12 20:06:41+00:00
1.65712E+18,"10. Albania 🇦🇱: Duje — Albina &amp; Familja Kelmendi:

Such a powerful opening. For me, in another lifetime, this is a contender to win. Everything is presented so perfectly. Vocally and visually stunning. Such a captivating performance.

#Eurovision #Eurovision2023",2023-05-12 20:06:39+00:00
1.65712E+18,based on the reviews so far it looks like Loreen has the juries in the bag! apparently the performance was FLAWLESS #Eurovision,2023-05-12 20:06:36+00:00
1.65712E+18,"🇦🇱 Albina and family are here now, and the passion on show is palpable and resonating through the arena audience! The staging has really elevated this entry and the press centre claps along in appreciation for another great vocal.

#Eurovision #Eurovision2023 #UnitedByMusic",2023-05-12 20:06:35+00:00
1.65711E+18,"🇦🇱 Could be Albanias best result in 5 years.
#Eurovision",2023-05-12 20:06:08+00:00
1.65711E+18,"So I've been looking into Tampere a lot this week for obvious reasons, and right now there is a single weekly Ryanair flight from Stansted to the city airport - you can also fly out next Thursday for a week for like £30 return if you have any holiday left... #Eurovision",2023-05-12 20:05:56+00:00
1.65711E+18,"Eurovision winner prediction:
🇪🇸 Spain will take the jury, 🇫🇮 Finland will take the televote, but 🇸🇪 Sweden will come second in both and take the win.

#Eurovision2023 #EUROVISION",2023-05-12 20:05:55+00:00
1.65711E+18,"🇨🇾🇪🇸 We think that there is no point in assuring you that Cyprus and Spain’s vocals were good. They’re always good!

As always, everything is top notch!

#cyprus #spain #eurovision",2023-05-12 20:05:52+00:00
1.65711E+18,Johnny Logan on BBC3. I loved What’s Another Year ❤️ #EUROVISION,2023-05-12 20:05:30+00:00
1.65711E+18,"Fleur East pronouncing Sami as ""Sammy"" and Daði as ""Daddy""

Urgh. 

#Eurovision #EveryonesAWinner",2023-05-12 20:05:26+00:00
1.65711E+18,"$100 • 48 Hours 🍒

- RT &amp; Follow
#Station19    #ゼルダの伝説    #Eurovision    #Shibarium #ゼルダの伝説    #BABYMONSTERisSEVEN",2023-05-12 20:05:10+00:00
1.65711E+18,"Half tweets Loreen was great, half the worst performance ok eurofans as bipolar as ever #eurovision",2023-05-12 20:04:40+00:00
1.65711E+18,I really like Johnny Logan. Hold Me Now is the #EUROVISION ballad that all other Eurovision ballads aspire to. Don’t @ me. Facts are facts.,2023-05-12 20:04:12+00:00
1.65711E+18,"It was great…

Then I saw the camera crane on the wide shot🙃🙃🙃🙃🙃🙃 FFS 😭😭😭

#Eurovision #Eurovision2023 #ESC2023",2023-05-12 20:03:42+00:00
1.65711E+18,@Danny_L_Kerner @esc_florin Maneskin won from 24. Israel / Slovenia / Croatia are definitely in competitive positions. #eurovision,2023-05-12 20:03:40+00:00
1.65711E+18,"What’s all the type with Sweden, very basic song 

#EUROVISION",2023-05-12 20:03:11+00:00
1.65711E+18,"#Eurovision and its sublime concept are doing far more for racism than all right and beyond parties in Europe

Eurovision's narrative acts to the unconscious part of our brain. It dictates: ""West is a garden, rest of the world are outsiders.  We are a family. Others are not""",2023-05-12 20:03:04+00:00
1.65711E+18,The signs above Loreen are now BACK and she sounded better than ever. Absolute winner. 🤎 Place your bet till you can. #Eurovision2023 #eurovision #Sweden,2023-05-12 20:02:54+00:00
